X,Y,Theta,time
0.0952584,0.2870263,2.5069909,3.9800000
0.0944531,0.2876192,2.5132741,3.9900000
0.0936441,0.2882069,2.5195573,4.0000000
0.0928314,0.2887896,2.5258405,4.0100000
0.0920151,0.2893672,2.5321237,4.0200000
0.0911951,0.2899396,2.5384069,4.0300000
0.0903716,0.2905069,2.5446900,4.0400000
0.0895445,0.2910690,2.5509732,4.0500000
0.0887139,0.2916259,2.5572564,4.0600000
0.0878798,0.2921775,2.5635396,4.0700000
0.0870423,0.2927239,2.5698228,4.0800000
0.0862014,0.2932650,2.5761060,4.0900000
0.0853570,0.2938009,2.5823892,4.1000000
0.0845094,0.2943314,2.5886723,4.1100000
0.0836584,0.2948565,2.5949555,4.1200000
0.0828041,0.2953764,2.6012387,4.1300000
0.0819466,0.2958908,2.6075219,4.1400000
0.0810858,0.2963998,2.6138051,4.1500000
0.0802219,0.2969035,2.6200883,4.1600000
0.0793548,0.2974016,2.6263715,4.1700000
0.0784846,0.2978944,2.6326546,4.1800000
0.0776114,0.2983816,2.6389378,4.1900000
0.0767351,0.2988634,2.6452210,4.2000000
0.0758558,0.2993396,2.6515042,4.2100000
0.0749735,0.2998103,2.6577874,4.2200000
0.0740882,0.3002755,2.6640706,4.2300000
0.0732001,0.3007351,2.6703538,4.2400000
0.0723091,0.3011890,2.6766369,4.2500000
0.0714152,0.3016374,2.6829201,4.2600000
0.0705186,0.3020802,2.6892033,4.2700000
0.0696192,0.3025173,2.6954865,4.2800000
0.0687171,0.3029488,2.7017697,4.2900000
0.0678122,0.3033745,2.7080529,4.3000000
0.0669048,0.3037946,2.7143361,4.3100000
0.0659947,0.3042090,2.7206192,4.3200000
0.0650820,0.3046176,2.7269024,4.3300000
0.0641667,0.3050206,2.7331856,4.3400000
0.0632490,0.3054177,2.7394688,4.3500000
0.0623287,0.3058091,2.7457520,4.3600000
0.0614061,0.3061947,2.7520352,4.3700000
0.0604810,0.3065744,2.7583183,4.3800000
0.0595535,0.3069484,2.7646015,4.3900000
0.0586238,0.3073165,2.7708847,4.4000000
0.0576917,0.3076788,2.7771679,4.4100000
0.0567574,0.3080352,2.7834511,4.4200000
0.0558208,0.3083857,2.7897343,4.4300000
0.0548821,0.3087304,2.7960175,4.4400000
0.0539412,0.3090691,2.8023006,4.4500000
0.0529982,0.3094019,2.8085838,4.4600000
0.0520531,0.3097288,2.8148670,4.4700000
0.0511060,0.3100498,2.8211502,4.4800000
0.0501569,0.3103648,2.8274334,4.4900000
0.0492059,0.3106738,2.8337166,4.5000000
0.0482529,0.3109768,2.8399998,4.5100000
0.0472980,0.3112739,2.8462829,4.5200000
0.0463413,0.3115649,2.8525661,4.5300000
0.0453828,0.3118499,2.8588493,4.5400000
0.0444225,0.3121289,2.8651325,4.5500000
0.0434605,0.3124019,2.8714157,4.5600000
0.0424968,0.3126688,2.8776989,4.5700000
0.0415314,0.3129296,2.8839821,4.5800000
0.0405644,0.3131844,2.8902652,4.5900000
0.0395958,0.3134331,2.8965484,4.6000000
0.0386257,0.3136757,2.9028316,4.6100000
0.0376540,0.3139122,2.9091148,4.6200000
0.0366809,0.3141425,2.9153980,4.6300000
0.0357064,0.3143668,2.9216812,4.6400000
0.0347305,0.3145850,2.9279644,4.6500000
0.0337532,0.3147970,2.9342475,4.6600000
0.0327747,0.3150028,2.9405307,4.6700000
0.0317948,0.3152025,2.9468139,4.6800000
0.0308137,0.3153961,2.9530971,4.6900000
0.0298314,0.3155835,2.9593803,4.7000000
0.0288480,0.3157647,2.9656635,4.7100000
0.0278634,0.3159397,2.9719467,4.7200000
0.0268778,0.3161085,2.9782298,4.7300000
0.0258911,0.3162712,2.9845130,4.7400000
0.0249034,0.3164276,2.9907962,4.7500000
0.0239147,0.3165778,2.9970794,4.7600000
0.0229252,0.3167218,3.0033626,4.7700000
0.0219347,0.3168596,3.0096458,4.7800000
0.0209434,0.3169912,3.0159289,4.7900000
0.0199513,0.3171165,3.0222121,4.8000000
0.0189584,0.3172356,3.0284953,4.8100000
0.0179648,0.3173485,3.0347785,4.8200000
0.0169705,0.3174551,3.0410617,4.8300000
0.0159755,0.3175555,3.0473449,4.8400000
0.0149800,0.3176496,3.0536281,4.8500000
0.0139838,0.3177374,3.0599112,4.8600000
0.0129872,0.3178190,3.0661944,4.8700000
0.0119900,0.3178943,3.0724776,4.8800000
0.0109924,0.3179634,3.0787608,4.8900000
0.0099944,0.3180262,3.0850440,4.9000000
0.0089960,0.3180827,3.0913272,4.9100000
0.0079972,0.3181329,3.0976104,4.9200000
0.0069982,0.3181769,3.1038935,4.9300000
0.0059989,0.3182146,3.1101767,4.9400000
0.0049994,0.3182460,3.1164599,4.9500000
0.0039997,0.3182711,3.1227431,4.9600000
0.0029999,0.3182900,3.1290263,4.9700000
0.0020000,0.3183026,3.1353095,4.9800000
0.0010000,0.3183088,3.1415927,4.9900000
0.0000000,0.3183088,3.1353095,5.0000000
-0.0010000,0.3183151,3.1290263,5.0100000
-0.0019999,0.3183277,3.1227431,5.0200000
-0.0029997,0.3183465,3.1164599,5.0300000
-0.0039994,0.3183717,3.1101767,5.0400000
-0.0049989,0.3184031,3.1038935,5.0500000
-0.0059982,0.3184408,3.0976104,5.0600000
-0.0069972,0.3184847,3.0913272,5.0700000
-0.0079960,0.3185350,3.0850440,5.0800000
-0.0089944,0.3185915,3.0787608,5.0900000
-0.0099924,0.3186543,3.0724776,5.1000000
-0.0109900,0.3187233,3.0661944,5.1100000
-0.0119872,0.3187987,3.0599112,5.1200000
-0.0129838,0.3188803,3.0536281,5.1300000
-0.0139800,0.3189681,3.0473449,5.1400000
-0.0149755,0.3190622,3.0410617,5.1500000
-0.0159705,0.3191626,3.0347785,5.1600000
-0.0169648,0.3192692,3.0284953,5.1700000
-0.0179584,0.3193821,3.0222121,5.1800000
-0.0189513,0.3195012,3.0159289,5.1900000
-0.0199434,0.3196265,3.0096458,5.2000000
-0.0209347,0.3197581,3.0033626,5.2100000
-0.0219252,0.3198958,2.9970794,5.2200000
-0.0229147,0.3200399,2.9907962,5.2300000
-0.0239034,0.3201901,2.9845130,5.2400000
-0.0248911,0.3203465,2.9782298,5.2500000
-0.0258778,0.3205091,2.9719467,5.2600000
-0.0268634,0.3206780,2.9656635,5.2700000
-0.0278480,0.3208530,2.9593803,5.2800000
-0.0288314,0.3210342,2.9530971,5.2900000
-0.0298137,0.3212216,2.9468139,5.3000000
-0.0307948,0.3214151,2.9405307,5.3100000
-0.0317747,0.3216149,2.9342475,5.3200000
-0.0327532,0.3218207,2.9279644,5.3300000
-0.0337305,0.3220327,2.9216812,5.3400000
-0.0347064,0.3222509,2.9153980,5.3500000
-0.0356809,0.3224751,2.9091148,5.3600000
-0.0366540,0.3227055,2.9028316,5.3700000
-0.0376257,0.3229420,2.8965484,5.3800000
-0.0385958,0.3231846,2.8902652,5.3900000
-0.0395644,0.3234333,2.8839821,5.4000000
-0.0405314,0.3236881,2.8776989,5.4100000
-0.0414968,0.3239489,2.8714157,5.4200000
-0.0424605,0.3242158,2.8651325,5.4300000
-0.0434225,0.3244888,2.8588493,5.4400000
-0.0443828,0.3247678,2.8525661,5.4500000
-0.0453413,0.3250528,2.8462829,5.4600000
-0.0462980,0.3253438,2.8399998,5.4700000
-0.0472529,0.3256409,2.8337166,5.4800000
-0.0482059,0.3259439,2.8274334,5.4900000
-0.0491569,0.3262529,2.8211502,5.5000000
-0.0501060,0.3265679,2.8148670,5.5100000
-0.0510531,0.3268888,2.8085838,5.5200000
-0.0519982,0.3272157,2.8023006,5.5300000
-0.0529412,0.3275486,2.7960175,5.5400000
-0.0538821,0.3278873,2.7897343,5.5500000
-0.0548208,0.3282319,2.7834511,5.5600000
-0.0557574,0.3285825,2.7771679,5.5700000
-0.0566917,0.3289389,2.7708847,5.5800000
-0.0576238,0.3293012,2.7646015,5.5900000
-0.0585535,0.3296693,2.7583183,5.6000000
-0.0594810,0.3300432,2.7520352,5.6100000
-0.0604061,0.3304230,2.7457520,5.6200000
-0.0613287,0.3308086,2.7394688,5.6300000
-0.0622490,0.3312000,2.7331856,5.6400000
-0.0631667,0.3315971,2.7269024,5.6500000
-0.0640820,0.3320000,2.7206192,5.6600000
-0.0649947,0.3324087,2.7143361,5.6700000
-0.0659048,0.3328231,2.7080529,5.6800000
-0.0668122,0.3332431,2.7017697,5.6900000
-0.0677171,0.3336689,2.6954865,5.7000000
-0.0686192,0.3341004,2.6892033,5.7100000
-0.0695186,0.3345375,2.6829201,5.7200000
